kpointindex: 1 K=      0.000000     -3.627599      0.000000
   mode=  43   Re <S_r> -0.00000462  0.00021779 -0.63786294   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  0.6379   Im|<S_r>|  0.0000   E_r=   6.72960098 -0.00000000
   mode=  44   Re <S_r>  0.00000125 -0.00005892 -0.56466245   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  0.5647   Im|<S_r>|  0.0000   E_r=   6.44507302  0.00000000
   mode=  45   Re <S_r>  0.00000100 -0.00004698 -0.74147180   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  0.7415   Im|<S_r>|  0.0000   E_r=   5.98656688 -0.00000000
   mode=  46   Re <S_r> -0.00000246  0.00011566 -0.48051261   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  0.4805   Im|<S_r>|  0.0000   E_r=   5.92548767 -0.00000000
   mode=  47   Re <S_r>  0.00000205 -0.00009666 -0.41759412   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  0.4176   Im|<S_r>|  0.0000   E_r=   5.45667564  0.00000000
   mode=  48   Re <S_r> -0.00000358  0.00016876 -0.23915513   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  0.2392   Im|<S_r>|  0.0000   E_r=   5.07266966 -0.00000000
   mode=  49   Re <S_r> -0.00000074  0.00003488 -0.40148823   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  0.4015   Im|<S_r>|  0.0000   E_r=   4.99530141 -0.00000000
   mode=  50   Re <S_r> -0.00002366  0.00111461 -0.20362040   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  0.2036   Im|<S_r>|  0.0000   E_r=   4.94410709  0.00000000
   mode=  51   Re <S_r>  0.00002560 -0.00120586 -0.07119214   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  0.0712   Im|<S_r>|  0.0000   E_r=   4.93221802 -0.00000000
   mode=  52   Re <S_r>  0.00000056 -0.00002627 -0.33036717   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  0.3304   Im|<S_r>|  0.0000   E_r=   4.72488915 -0.00000000
   mode=  53   Re <S_r>  0.00000108 -0.00005071 -0.31031350   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  0.3103   Im|<S_r>|  0.0000   E_r=   4.47331892  0.00000000
   mode=  54   Re <S_r> -0.00000144  0.00006790 -0.47328616   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  0.4733   Im|<S_r>|  0.0000   E_r=   3.83548665 -0.00000000
   mode=  55   Re <S_r>  0.00000073 -0.00003449 -0.57822769   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  0.5782   Im|<S_r>|  0.0000   E_r=   3.64498462  0.00000000
   mode=  56   Re <S_r>  0.00000028 -0.00001340 -0.66725080   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  0.6673   Im|<S_r>|  0.0000   E_r=   3.34625858  0.00000000
   mode=  57   Re <S_r> -0.00000007  0.00000349 -0.51459413   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  0.5146   Im|<S_r>|  0.0000   E_r=   2.85090530  0.00000000
   mode=  58   Re <S_r> -0.00000033  0.00001575 -0.01420883   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  0.0142   Im|<S_r>|  0.0000   E_r=   2.49104993 -0.00000000
   mode=  59   Re <S_r>  0.00000018 -0.00000848 -0.43932044   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  0.4393   Im|<S_r>|  0.0000   E_r=   2.40007297  0.00000000
   mode=  60   Re <S_r> -0.00000050  0.00002368 -0.18168951   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  0.1817   Im|<S_r>|  0.0000   E_r=   1.47326730 -0.00000000
   mode=  61   Re <S_r>  0.00000018 -0.00000826 -0.28121315   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  0.2812   Im|<S_r>|  0.0000   E_r=   1.29326281 -0.00000000
   mode=  62   Re <S_r>  0.00000059 -0.00002758 -0.56804147   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  0.5680   Im|<S_r>|  0.0000   E_r=   1.09912948  0.00000000
   mode=  63   Re <S_r> -0.00000018  0.00000830 -0.14000006   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  0.1400   Im|<S_r>|  0.0000   E_r=   0.50328728  0.00000000
   mode=  64   Re <S_r>  0.00000050 -0.00002335 -0.11767166   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  0.1177   Im|<S_r>|  0.0000   E_r=   0.00278697  0.00000000

kpointindex: 2 K=      0.000000     -3.566114      0.000000
   mode=   1   Re <S_r>  0.00955029 -0.00003782  0.36961508   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  0.3697   Im|<S_r>|  0.0000   E_r=  11.02882792 -0.00000000
   mode=   2   Re <S_r> -0.00196374  0.00003414  0.47637270   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  0.4764   Im|<S_r>|  0.0000   E_r=  11.01184390 -0.00000000
   mode=   3   Re <S_r> -0.03248251  0.00036823  0.18203925   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  0.1849   Im|<S_r>|  0.0000   E_r=  10.62759137  0.00000000
   mode=   4   Re <S_r> -0.04274116 -0.00027213 -0.88303402   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  0.8841   Im|<S_r>|  0.0000   E_r=  10.59299478 -0.00000000
   mode=   5   Re <S_r>  0.04629434 -0.00024235 -0.35356004   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  0.3566   Im|<S_r>|  0.0000   E_r=  10.53494186 -0.00000000
   mode=   6   Re <S_r>  0.00076640 -0.00005207 -0.58670929   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  0.5867   Im|<S_r>|  0.0000   E_r=  10.52256587  0.00000000
   mode=   7   Re <S_r>  0.03188969  0.00004380 -0.65932886   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  0.6601   Im|<S_r>|  0.0000   E_r=  10.50336184  0.00000000
   mode=   8   Re <S_r>  0.03760254  0.00013515 -0.77262117   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  0.7735   Im|<S_r>|  0.0000   E_r=  10.48235763  0.00000000
   mode=   9   Re <S_r> -0.00063406  0.00040372 -0.04930786   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  0.0493   Im|<S_r>|  0.0000   E_r=  10.24784485  0.00000000
   mode=  10   Re <S_r>  0.01585473 -0.00044168 -0.74684099   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  0.7470   Im|<S_r>|  0.0000   E_r=  10.19926411 -0.00000000
   mode=  11   Re <S_r> -0.02018809  0.00025064 -0.31919927   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  0.3198   Im|<S_r>|  0.0000   E_r=  10.09081250 -0.00000000
   mode=  12   Re <S_r> -0.00770340 -0.00029238 -0.47235028   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  0.4724   Im|<S_r>|  0.0000   E_r=   9.99826035 -0.00000000
   mode=  13   Re <S_r> -0.01114516 -0.00013676 -0.37947595   Im <S_r>  0.00000000  0.00000000  0.00000000   Re|<S_r>|  0.3796   Im|<S_r>|  0.0000   E_r=   9.97832268 -0.00000000
